MSOA,MedianHP,Borough,Area,Inner,Political,PopulationDensity,WorkingAge,ObesityRate,LifeExpectancy,BAME,Unemployed,MedianHHIncome,CarsPerHH,OwnershipRate,Sales
E02000175,432500,Camden,Central,Inner,Labour,127.1255061,79.113924,13.2,81.75,29.70162749,5.308979174,43267.3533,0.489361702,32.6,128
E02000176,666250,Camden,Central,Inner,Labour,166.5409754,73.889848,12,87.05,22.31288247,3.527682509,62062.77966,0.551057958,45.8,122
E02000177,370000,Camden,Central,Inner,Labour,176.7952636,69.222173,17.9,79.95,35.98569513,8.555091269,28690.23652,0.419404916,26.2,110
E02000178,350000,Camden,Central,Inner,Labour,165.0409398,77.125438,16.9,78.7,36.91995032,7.416447615,30067.13171,0.389719626,26.9,101
E02000179,615000,Camden,Central,Inner,Labour,170.9281046,67.19861,13.9,82.65,33.35440038,6.948640483,41716.21818,0.604529617,36.5,87
E02000180,417500,Camden,Central,Inner,Labour,161.7428925,75.384053,16.1,80.75,33.9307486,7.069555302,32416.48648,0.431054803,29.1,116
E02000181,495250,Camden,Central,Inner,Labour,144.3520059,77.153607,12.1,82.55,24.20861443,3.762691619,53974.34028,0.580803938,42.5,140
E02000182,625000,Camden,Central,Inner,Labour,88.70644272,67.567568,14.2,83.1,40.28669554,6.073361395,47091.7794,0.6479919,38.2,79
E02000183,665000,Camden,Central,Inner,Labour,102.4620967,70.403134,15.1,83.05,22.78529003,4.798036153,48658.81384,0.59701108,39,142
E02000184,330000,Camden,Central,Inner,Labour,131.7990373,75.129475,18.7,79.25,40.99301959,9.105145414,26057.70922,0.336525308,20.3,70
E02000185,375000,Camden,Central,Inner,Labour,181.5332486,68.54041,18.9,76.25,42.03860072,9.595238095,26409.8638,0.3638903,20.7,81
